,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,MIA,HOU,KCR,LAA,LAD,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDP,SFG,SEA,STL,TBR,TEX,TOR,WSN
ARI,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,6,6,0,3,0,0,0,0
ATL,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,4,0,0,0,0,0,3,0,6
BAL,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,6,0
BOS,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,3,0,0,0,0,3,0,3,0
CHC,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,5,0,0,0,0,0,6,0,0,0,3,0,0,3,0
CHW,0,0,0,0,0,0,0,3,0,3,0,0,7,0,0,0,5,0,0,4,0,0,0,0,0,0,3,0,0,0
CIN,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,3,0,0,0,7,0,0,0,0
CLE,0,0,0,0,0,3,0,0,0,6,0,4,3,1,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0
COL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,6,2,0,3,0,0,0,0
DET,0,0,0,0,0,3,0,6,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0
MIA,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,6,0,0,0,0,0,0,0,0,8
HOU,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,3,0,0,0,0,6,0,0,3,0,0
KCR,0,0,0,4,0,7,0,3,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0
LAA,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,4,0,0,3,0,0,0,0,7,0,0,6,0,0
LAD,3,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,2
MIL,0,0,0,0,5,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0
MIN,3,0,0,0,0,5,0,6,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYM,0,3,0,0,0,0,3,0,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
NYY,0,0,8,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0
OAK,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,5,0,0,7,0,0
PHI,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,0,0,3
PIT,0,4,0,3,6,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,2,0,0,0,0
SDP,6,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0
SFG,6,0,0,0,0,0,0,0,2,3,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
SEA,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,4,4,0
STL,3,0,0,0,3,0,7,0,3,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TBR,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0
TEX,0,3,0,0,0,0,0,0,0,0,0,3,2,6,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0
TOR,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,6,0,0,0
WSN,0,6,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0
